Map_Value_Code,Second_Iteration_Code,FIrst_Iteration_Code,FIA_Ownership_Code,FIA_Ownership_Description,Land_Cover_Code,Land_Cover_Description,cover_clean,owner_clean,CLASS1_FULL,CLASS2_MAP,CLASS2_MAP_CODE,CLASS3_ERROR,CLASS3_ERROR_CODE,CLASS4_MAP,CLASS4_DESCRIPTION
171,4190,41.15,41,Corporate,90,Woody Wetlands,90,41,OWNER: 41 / COVER: 90,corporate forest,1,ownership and cover data,3,4,Corporate/Other Private Forest
172,4182,41.14,41,Corporate,82,Cultivated Crops,82,41,OWNER: 41 / COVER: 82,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
173,4181,41.13,41,Corporate,81,Hay/Pasture,81,41,OWNER: 41 / COVER: 81,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
174,4174,,41,Corporate,74,Moss,74,41,OWNER: 41 / COVER: 74,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
175,4173,,41,Corporate,73,Lichens,73,41,OWNER: 41 / COVER: 73,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
176,4172,,41,Corporate,72,Sedge/Herbaceous,72,41,OWNER: 41 / COVER: 72,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
177,4171,41.12,41,Corporate,71,Herbaceuous,71,41,OWNER: 41 / COVER: 71,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
178,4152,41.11,41,Corporate,52,Shrub/Scrub,52,41,OWNER: 41 / COVER: 52,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
179,4151,,41,Corporate,51,Dwarf Scrub,51,41,OWNER: 41 / COVER: 51,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
180,4143,41.09,41,Corporate,43,Mixed Forest,43,41,OWNER: 41 / COVER: 43,corporate forest,1,ownership and cover data,3,4,Corporate/Other Private Forest
181,4142,41.08,41,Corporate,42,Evergreen Forest,42,41,OWNER: 41 / COVER: 42,corporate forest,1,ownership and cover data,3,4,Corporate/Other Private Forest
182,4141,41.07,41,Corporate,41,Deciduous Forest,41,41,OWNER: 41 / COVER: 41,corporate forest,1,ownership and cover data,3,4,Corporate/Other Private Forest
183,4131,41.06,41,Corporate,31,Barren Land,31,41,OWNER: 41 / COVER: 31,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
184,4124,41.05,41,Corporate,24,"Developed, High Intensity",24,41,OWNER: 41 / COVER: 24,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
185,4123,41.04,41,Corporate,23,"Developed, Medium Intensity",23,41,OWNER: 41 / COVER: 23,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
186,4122,41.03,41,Corporate,22,"Developed, Low Intensity",22,41,OWNER: 41 / COVER: 22,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
187,4121,41.02,41,Corporate,21,"Developed, Open Space",21,41,OWNER: 41 / COVER: 21,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
188,4112,,41,Corporate,12,Perennial Ice/Snow,12,41,OWNER: 41 / COVER: 12,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
189,4111,41.01,41,Corporate,11,Open Water,11,41,OWNER: 41 / COVER: 11,water,0,ownership and cover data,3,2,Water
190,4100,,41,Corporate,0,Unclassified,-1,41,OWNER: 41 / COVER: -1,corporate non-forest,2,ownership data only,2,1,Non-Forest
191,3295,32.16,32,"Local (county, municipal, etc.)",95,Emergent Herbaceuous Wetlands,95,32,OWNER: 32 / COVER: 95,public non-forest,10,ownership and cover data,3,1,Non-Forest
192,3290,32.15,32,"Local (county, municipal, etc.)",90,Woody Wetlands,90,32,OWNER: 32 / COVER: 90,public forest,9,ownership and cover data,3,8,Local Forest
193,3282,32.14,32,"Local (county, municipal, etc.)",82,Cultivated Crops,82,32,OWNER: 32 / COVER: 82,public non-forest,10,ownership and cover data,3,1,Non-Forest
194,3281,32.13,32,"Local (county, municipal, etc.)",81,Hay/Pasture,81,32,OWNER: 32 / COVER: 81,public non-forest,10,ownership and cover data,3,1,Non-Forest
195,3274,,32,"Local (county, municipal, etc.)",74,Moss,74,32,OWNER: 32 / COVER: 74,public non-forest,10,ownership and cover data,3,1,Non-Forest
196,3273,,32,"Local (county, municipal, etc.)",73,Lichens,73,32,OWNER: 32 / COVER: 73,public non-forest,10,ownership and cover data,3,1,Non-Forest
197,3272,,32,"Local (county, municipal, etc.)",72,Sedge/Herbaceous,72,32,OWNER: 32 / COVER: 72,public non-forest,10,ownership and cover data,3,1,Non-Forest
198,3271,32.12,32,"Local (county, municipal, etc.)",71,Herbaceuous,71,32,OWNER: 32 / COVER: 71,public non-forest,10,ownership and cover data,3,1,Non-Forest
199,3252,32.11,32,"Local (county, municipal, etc.)",52,Shrub/Scrub,52,32,OWNER: 32 / COVER: 52,public non-forest,10,ownership and cover data,3,1,Non-Forest
200,3251,,32,"Local (county, municipal, etc.)",51,Dwarf Scrub,51,32,OWNER: 32 / COVER: 51,public non-forest,10,ownership and cover data,3,1,Non-Forest
201,3243,32.09,32,"Local (county, municipal, etc.)",43,Mixed Forest,43,32,OWNER: 32 / COVER: 43,public forest,9,ownership and cover data,3,8,Local Forest
202,3242,32.08,32,"Local (county, municipal, etc.)",42,Evergreen Forest,42,32,OWNER: 32 / COVER: 42,public forest,9,ownership and cover data,3,8,Local Forest
203,3241,32.07,32,"Local (county, municipal, etc.)",41,Deciduous Forest,41,32,OWNER: 32 / COVER: 41,public forest,9,ownership and cover data,3,8,Local Forest
204,3231,32.06,32,"Local (county, municipal, etc.)",31,Barren Land,31,32,OWNER: 32 / COVER: 31,public non-forest,10,ownership and cover data,3,1,Non-Forest
205,3224,32.05,32,"Local (county, municipal, etc.)",24,"Developed, High Intensity",24,32,OWNER: 32 / COVER: 24,public non-forest,10,ownership and cover data,3,1,Non-Forest
206,3223,32.04,32,"Local (county, municipal, etc.)",23,"Developed, Medium Intensity",23,32,OWNER: 32 / COVER: 23,public non-forest,10,ownership and cover data,3,1,Non-Forest
207,3222,32.03,32,"Local (county, municipal, etc.)",22,"Developed, Low Intensity",22,32,OWNER: 32 / COVER: 22,public non-forest,10,ownership and cover data,3,1,Non-Forest
208,3221,32.02,32,"Local (county, municipal, etc.)",21,"Developed, Open Space",21,32,OWNER: 32 / COVER: 21,public non-forest,10,ownership and cover data,3,1,Non-Forest
209,3212,,32,"Local (county, municipal, etc.)",12,Perennial Ice/Snow,12,32,OWNER: 32 / COVER: 12,public non-forest,10,ownership and cover data,3,1,Non-Forest
210,3211,32.01,32,"Local (county, municipal, etc.)",11,Open Water,11,32,OWNER: 32 / COVER: 11,water,0,ownership and cover data,3,2,Water
211,3200,,32,"Local (county, municipal, etc.)",0,Unclassified,-1,32,OWNER: 32 / COVER: -1,public non-forest,10,ownership data only,2,1,Non-Forest
212,3195,31.16,31,State,95,Emergent Herbaceuous Wetlands,95,31,OWNER: 31 / COVER: 95,public non-forest,10,ownership and cover data,3,1,Non-Forest
213,3190,31.15,31,State,90,Woody Wetlands,90,31,OWNER: 31 / COVER: 90,public forest,9,ownership and cover data,3,7,State Forest
214,3182,31.14,31,State,82,Cultivated Crops,82,31,OWNER: 31 / COVER: 82,public non-forest,10,ownership and cover data,3,1,Non-Forest
215,3181,31.13,31,State,81,Hay/Pasture,81,31,OWNER: 31 / COVER: 81,public non-forest,10,ownership and cover data,3,1,Non-Forest
216,3174,,31,State,74,Moss,74,31,OWNER: 31 / COVER: 74,public non-forest,10,ownership and cover data,3,1,Non-Forest
217,3173,,31,State,73,Lichens,73,31,OWNER: 31 / COVER: 73,public non-forest,10,ownership and cover data,3,1,Non-Forest
218,3172,,31,State,72,Sedge/Herbaceous,72,31,OWNER: 31 / COVER: 72,public non-forest,10,ownership and cover data,3,1,Non-Forest
219,3171,31.12,31,State,71,Herbaceuous,71,31,OWNER: 31 / COVER: 71,public non-forest,10,ownership and cover data,3,1,Non-Forest
220,3152,31.11,31,State,52,Shrub/Scrub,52,31,OWNER: 31 / COVER: 52,public non-forest,10,ownership and cover data,3,1,Non-Forest
221,3151,,31,State,51,Dwarf Scrub,51,31,OWNER: 31 / COVER: 51,public non-forest,10,ownership and cover data,3,1,Non-Forest
222,3143,31.09,31,State,43,Mixed Forest,43,31,OWNER: 31 / COVER: 43,public forest,9,ownership and cover data,3,7,State Forest
223,3142,31.08,31,State,42,Evergreen Forest,42,31,OWNER: 31 / COVER: 42,public forest,9,ownership and cover data,3,7,State Forest
224,3141,31.07,31,State,41,Deciduous Forest,41,31,OWNER: 31 / COVER: 41,public forest,9,ownership and cover data,3,7,State Forest
225,3131,31.06,31,State,31,Barren Land,31,31,OWNER: 31 / COVER: 31,public non-forest,10,ownership and cover data,3,1,Non-Forest
226,3124,31.05,31,State,24,"Developed, High Intensity",24,31,OWNER: 31 / COVER: 24,public non-forest,10,ownership and cover data,3,1,Non-Forest
227,3123,31.04,31,State,23,"Developed, Medium Intensity",23,31,OWNER: 31 / COVER: 23,public non-forest,10,ownership and cover data,3,1,Non-Forest
228,3122,31.03,31,State,22,"Developed, Low Intensity",22,31,OWNER: 31 / COVER: 22,public non-forest,10,ownership and cover data,3,1,Non-Forest
229,3121,31.02,31,State,21,"Developed, Open Space",21,31,OWNER: 31 / COVER: 21,public non-forest,10,ownership and cover data,3,1,Non-Forest
230,3112,,31,State,12,Perennial Ice/Snow,12,31,OWNER: 31 / COVER: 12,public non-forest,10,ownership and cover data,3,1,Non-Forest
231,3111,31.01,31,State,11,Open Water,11,31,OWNER: 31 / COVER: 11,water,0,ownership and cover data,3,2,Water
232,3100,,31,State,0,Unclassified,-1,31,OWNER: 31 / COVER: -1,public non-forest,10,ownership data only,2,1,Non-Forest
233,2595,25.16,25,Federal,95,Emergent Herbaceuous Wetlands,95,25,OWNER: 25 / COVER: 95,public non-forest,10,ownership and cover data,3,1,Non-Forest
234,2590,25.15,25,Federal,90,Woody Wetlands,90,25,OWNER: 25 / COVER: 90,public forest,9,ownership and cover data,3,6,Federal Forest
235,2582,25.14,25,Federal,82,Cultivated Crops,82,25,OWNER: 25 / COVER: 82,public non-forest,10,ownership and cover data,3,1,Non-Forest
236,2581,25.13,25,Federal,81,Hay/Pasture,81,25,OWNER: 25 / COVER: 81,public non-forest,10,ownership and cover data,3,1,Non-Forest
237,2574,,25,Federal,74,Moss,74,25,OWNER: 25 / COVER: 74,public non-forest,10,ownership and cover data,3,1,Non-Forest
238,2573,,25,Federal,73,Lichens,73,25,OWNER: 25 / COVER: 73,public non-forest,10,ownership and cover data,3,1,Non-Forest
239,2572,,25,Federal,72,Sedge/Herbaceous,72,25,OWNER: 25 / COVER: 72,public non-forest,10,ownership and cover data,3,1,Non-Forest
240,2571,25.12,25,Federal,71,Herbaceuous,71,25,OWNER: 25 / COVER: 71,public non-forest,10,ownership and cover data,3,1,Non-Forest
241,2552,25.11,25,Federal,52,Shrub/Scrub,52,25,OWNER: 25 / COVER: 52,public non-forest,10,ownership and cover data,3,1,Non-Forest
242,2551,,25,Federal,51,Dwarf Scrub,51,25,OWNER: 25 / COVER: 51,public non-forest,10,ownership and cover data,3,1,Non-Forest
243,2543,25.09,25,Federal,43,Mixed Forest,43,25,OWNER: 25 / COVER: 43,public forest,9,ownership and cover data,3,6,Federal Forest
244,2542,25.08,25,Federal,42,Evergreen Forest,42,25,OWNER: 25 / COVER: 42,public forest,9,ownership and cover data,3,6,Federal Forest
245,2541,25.07,25,Federal,41,Deciduous Forest,41,25,OWNER: 25 / COVER: 41,public forest,9,ownership and cover data,3,6,Federal Forest
246,2531,25.06,25,Federal,31,Barren Land,31,25,OWNER: 25 / COVER: 31,public non-forest,10,ownership and cover data,3,1,Non-Forest
247,2524,25.05,25,Federal,24,"Developed, High Intensity",24,25,OWNER: 25 / COVER: 24,public non-forest,10,ownership and cover data,3,1,Non-Forest
248,2523,25.04,25,Federal,23,"Developed, Medium Intensity",23,25,OWNER: 25 / COVER: 23,public non-forest,10,ownership and cover data,3,1,Non-Forest
249,2522,25.03,25,Federal,22,"Developed, Low Intensity",22,25,OWNER: 25 / COVER: 22,public non-forest,10,ownership and cover data,3,1,Non-Forest
250,2521,25.02,25,Federal,21,"Developed, Open Space",21,25,OWNER: 25 / COVER: 21,public non-forest,10,ownership and cover data,3,1,Non-Forest
251,2512,,25,Federal,12,Perennial Ice/Snow,12,25,OWNER: 25 / COVER: 12,public non-forest,10,ownership and cover data,3,1,Non-Forest
252,2511,25.01,25,Federal,11,Open Water,11,25,OWNER: 25 / COVER: 11,water,0,ownership and cover data,3,2,Water
253,2500,,25,Federal,0,Unclassified,-1,25,OWNER: 25 / COVER: -1,public non-forest,10,ownership data only,2,1,Non-Forest
